game,period,number,is_big,big_small,color
WinGo_30S,20260901100051573,5,1,Big,"green,violet"
WinGo_30S,20260901100051574,9,1,Big,green
WinGo_30S,20260901100051575,6,1,Big,red
WinGo_30S,20260901100051576,8,1,Big,red
WinGo_30S,20260901100051577,9,1,Big,green
WinGo_30S,20260901100051578,0,0,Small,"red,violet"
WinGo_30S,20260901100051579,8,1,Big,red
WinGo_30S,20260901100051580,6,1,Big,red
WinGo_30S,20260901100051581,8,1,Big,red
WinGo_30S,20260901100051582,2,0,Small,red
WinGo_30S,20260901100051583,1,0,Small,green
WinGo_30S,20260901100051584,8,1,Big,red
WinGo_30S,20260901100051585,8,1,Big,red
WinGo_30S,20260901100051586,5,1,Big,"green,violet"
WinGo_30S,20260901100051587,4,0,Small,red
WinGo_30S,20260901100051588,2,0,Small,red
WinGo_30S,20260901100051589,3,0,Small,green
WinGo_30S,20260901100051590,1,0,Small,green
WinGo_30S,20260901100051591,6,1,Big,red
WinGo_30S,20260901100051592,7,1,Big,green
WinGo_30S,20260901100051593,0,0,Small,"red,violet"
WinGo_30S,20260901100051594,9,1,Big,green
WinGo_30S,20260901100051595,9,1,Big,green
WinGo_30S,20260901100051596,8,1,Big,red
WinGo_30S,20260901100051597,6,1,Big,red
WinGo_30S,20260901100051598,3,0,Small,green
WinGo_30S,20260901100051599,8,1,Big,red
WinGo_30S,20260901100051600,7,1,Big,green
WinGo_30S,20260901100051601,9,1,Big,green
WinGo_30S,20260901100051602,6,1,Big,red
WinGo_30S,20260901100051603,8,1,Big,red
WinGo_30S,20260901100051604,1,0,Small,green
WinGo_30S,20260901100051605,9,1,Big,green
WinGo_30S,20260901100051606,2,0,Small,red
WinGo_30S,20260901100051607,6,1,Big,red
WinGo_30S,20260901100051608,0,0,Small,"red,violet"
WinGo_30S,20260901100051609,1,0,Small,green
WinGo_30S,20260901100051610,2,0,Small,red
WinGo_30S,20260901100051611,4,0,Small,red
WinGo_30S,20260901100051612,7,1,Big,green
WinGo_30S,20260901100051613,4,0,Small,red
WinGo_30S,20260901100051614,2,0,Small,red
WinGo_30S,20260901100051615,7,1,Big,green
WinGo_30S,20260901100051616,3,0,Small,green
WinGo_30S,20260901100051617,0,0,Small,"red,violet"
WinGo_30S,20260901100051618,7,1,Big,green
WinGo_30S,20260901100051619,4,0,Small,red
WinGo_30S,20260901100051620,5,1,Big,"green,violet"
WinGo_30S,20260901100051621,7,1,Big,green
WinGo_30S,20260901100051622,6,1,Big,red
WinGo_30S,20260901100051623,0,0,Small,"red,violet"
WinGo_30S,20260901100051624,0,0,Small,"red,violet"
WinGo_30S,20260901100051625,4,0,Small,red
WinGo_30S,20260901100051626,3,0,Small,green
WinGo_30S,20260901100051627,9,1,Big,green
WinGo_30S,20260901100051628,9,1,Big,green
WinGo_30S,20260901100051629,7,1,Big,green
WinGo_30S,20260901100051630,3,0,Small,green
WinGo_30S,20260901100051631,1,0,Small,green
WinGo_30S,20260901100051632,7,1,Big,green
WinGo_30S,20260901100051633,5,1,Big,"green,violet"
WinGo_30S,20260901100051634,7,1,Big,green
WinGo_30S,20260901100051635,7,1,Big,green
WinGo_30S,20260901100051636,9,1,Big,green
WinGo_30S,20260901100051637,8,1,Big,red
WinGo_30S,20260901100051638,7,1,Big,green
WinGo_30S,20260901100051639,0,0,Small,"red,violet"
WinGo_30S,20260901100051640,9,1,Big,green
WinGo_30S,20260901100051641,9,1,Big,green
WinGo_30S,20260901100051642,9,1,Big,green
WinGo_30S,20260901100051643,8,1,Big,red
WinGo_30S,20260901100051644,7,1,Big,green
WinGo_30S,20260901100051645,4,0,Small,red
WinGo_30S,20260901100051646,4,0,Small,red
WinGo_30S,20260901100051647,2,0,Small,red
WinGo_30S,20260901100051648,9,1,Big,green
WinGo_30S,20260901100051649,6,1,Big,red
WinGo_30S,20260901100051650,4,0,Small,red
WinGo_30S,20260901100051651,2,0,Small,red
WinGo_30S,20260901100051652,1,0,Small,green
WinGo_30S,20260901100051653,8,1,Big,red
WinGo_30S,20260901100051654,9,1,Big,green
WinGo_30S,20260901100051655,7,1,Big,green
WinGo_30S,20260901100051656,6,1,Big,red
WinGo_30S,20260901100051657,1,0,Small,green
WinGo_30S,20260901100051658,1,0,Small,green
WinGo_30S,20260901100051659,9,1,Big,green
WinGo_30S,20260901100051660,4,0,Small,red
WinGo_30S,20260901100051661,5,1,Big,"green,violet"
WinGo_30S,20260901100051662,1,0,Small,green
WinGo_30S,20260901100051663,0,0,Small,"red,violet"
WinGo_30S,20260901100051664,9,1,Big,green
WinGo_30S,20260901100051665,5,1,Big,"green,violet"
WinGo_30S,20260901100051666,0,0,Small,"red,violet"
WinGo_30S,20260901100051667,3,0,Small,green
WinGo_30S,20260901100051668,1,0,Small,green
WinGo_30S,20260901100051669,4,0,Small,red
WinGo_30S,20260901100051670,8,1,Big,red
WinGo_30S,20260901100051671,7,1,Big,green
WinGo_30S,20260901100051672,5,1,Big,"green,violet"
WinGo_30S,20260901100051673,8,1,Big,red
WinGo_30S,20260901100051674,9,1,Big,green
WinGo_30S,20260901100051675,3,0,Small,green
WinGo_30S,20260901100051676,4,0,Small,red
WinGo_30S,20260901100051677,8,1,Big,red
WinGo_30S,20260901100051678,4,0,Small,red
WinGo_30S,20260901100051679,7,1,Big,green
WinGo_30S,20260901100051680,2,0,Small,red
WinGo_30S,20260901100051681,2,0,Small,red
WinGo_30S,20260901100051682,4,0,Small,red
WinGo_30S,20260901100051683,1,0,Small,green
WinGo_30S,20260901100051684,3,0,Small,green
WinGo_30S,20260901100051685,7,1,Big,green
WinGo_30S,20260901100051686,7,1,Big,green
WinGo_30S,20260901100051687,0,0,Small,"red,violet"
WinGo_30S,20260901100051688,6,1,Big,red
WinGo_30S,20260901100051689,3,0,Small,green
WinGo_30S,20260901100051690,1,0,Small,green
WinGo_30S,20260901100051691,1,0,Small,green
WinGo_30S,20260901100051692,7,1,Big,green
WinGo_30S,20260901100051693,2,0,Small,red
WinGo_30S,20260901100051694,8,1,Big,red
WinGo_30S,20260901100051695,0,0,Small,"red,violet"
WinGo_30S,20260901100051696,7,1,Big,green
WinGo_30S,20260901100051697,8,1,Big,red
WinGo_30S,20260901100051698,1,0,Small,green
WinGo_30S,20260901100051699,3,0,Small,green
WinGo_30S,20260901100051700,0,0,Small,"red,violet"
WinGo_30S,20260901100051701,5,1,Big,"green,violet"
WinGo_30S,20260901100051702,9,1,Big,green
WinGo_30S,20260901100051703,1,0,Small,green
WinGo_30S,20260901100051704,8,1,Big,red
WinGo_30S,20260901100051705,2,0,Small,red
WinGo_30S,20260901100051706,9,1,Big,green
WinGo_30S,20260901100051707,5,1,Big,"green,violet"
WinGo_30S,20260901100051708,4,0,Small,red
WinGo_30S,20260901100051709,5,1,Big,"green,violet"
WinGo_30S,20260901100051710,6,1,Big,red
WinGo_30S,20260901100051711,8,1,Big,red
WinGo_30S,20260901100051712,4,0,Small,red
WinGo_30S,20260901100051713,2,0,Small,red
WinGo_30S,20260901100051714,3,0,Small,green
WinGo_30S,20260901100051715,0,0,Small,"red,violet"
WinGo_30S,20260901100051716,4,0,Small,red
WinGo_30S,20260901100051717,8,1,Big,red
WinGo_30S,20260901100051718,7,1,Big,green
WinGo_30S,20260901100051719,4,0,Small,red
WinGo_30S,20260901100051720,1,0,Small,green
WinGo_30S,20260901100051721,5,1,Big,"green,violet"
WinGo_30S,20260901100051722,4,0,Small,red
WinGo_30S,20260901100051723,8,1,Big,red
WinGo_30S,20260901100051724,7,1,Big,green
WinGo_30S,20260901100051725,3,0,Small,green
WinGo_30S,20260901100051726,4,0,Small,red
WinGo_30S,20260901100051727,8,1,Big,red
WinGo_30S,20260901100051728,3,0,Small,green
WinGo_30S,20260901100051729,6,1,Big,red
WinGo_30S,20260901100051730,4,0,Small,red
WinGo_30S,20260901100051731,8,1,Big,red
WinGo_30S,20260901100051732,0,0,Small,"red,violet"
WinGo_30S,20260901100051733,2,0,Small,red
WinGo_30S,20260901100051734,9,1,Big,green
WinGo_30S,20260901100051735,6,1,Big,red
WinGo_30S,20260901100051736,1,0,Small,green
WinGo_30S,20260901100051737,9,1,Big,green
WinGo_30S,20260901100051738,8,1,Big,red
WinGo_30S,20260901100051739,8,1,Big,red
WinGo_30S,20260901100051740,0,0,Small,"red,violet"
WinGo_30S,20260901100051741,4,0,Small,red
WinGo_30S,20260901100051742,7,1,Big,green
WinGo_30S,20260901100051743,6,1,Big,red
WinGo_30S,20260901100051744,2,0,Small,red
WinGo_30S,20260901100051745,3,0,Small,green
WinGo_30S,20260901100051746,0,0,Small,"red,violet"
WinGo_30S,20260901100051747,2,0,Small,red
WinGo_30S,20260901100051748,5,1,Big,"green,violet"
WinGo_30S,20260901100051749,6,1,Big,red
WinGo_30S,20260901100051750,5,1,Big,"green,violet"
WinGo_30S,20260901100051751,4,0,Small,red
WinGo_30S,20260901100051752,0,0,Small,"red,violet"
WinGo_30S,20260901100051753,0,0,Small,"red,violet"
WinGo_30S,20260901100051754,5,1,Big,"green,violet"
WinGo_30S,20260901100051755,5,1,Big,"green,violet"
WinGo_30S,20260901100051756,6,1,Big,red
WinGo_30S,20260901100051757,2,0,Small,red
WinGo_30S,20260901100051758,0,0,Small,"red,violet"
WinGo_30S,20260901100051759,8,1,Big,red
WinGo_30S,20260901100051760,0,0,Small,"red,violet"
WinGo_30S,20260901100051761,6,1,Big,red
WinGo_30S,20260901100051762,6,1,Big,red
WinGo_30S,20260901100051763,6,1,Big,red
WinGo_30S,20260901100051764,0,0,Small,"red,violet"
WinGo_30S,20260901100051765,6,1,Big,red
WinGo_30S,20260901100051766,8,1,Big,red
WinGo_30S,20260901100051767,9,1,Big,green
WinGo_30S,20260901100051768,7,1,Big,green
WinGo_30S,20260901100051769,7,1,Big,green
WinGo_30S,20260901100051770,6,1,Big,red
WinGo_30S,20260901100051771,1,0,Small,green
WinGo_30S,20260901100051772,8,1,Big,red
WinGo_30S,20260901100051773,8,1,Big,red
WinGo_30S,20260901100051774,5,1,Big,"green,violet"
WinGo_30S,20260901100051775,6,1,Big,red
WinGo_30S,20260901100051776,4,0,Small,red
WinGo_30S,20260901100051777,3,0,Small,green
WinGo_30S,20260901100051778,4,0,Small,red
WinGo_30S,20260901100051779,9,1,Big,green
WinGo_30S,20260901100051780,5,1,Big,"green,violet"
WinGo_30S,20260901100051781,1,0,Small,green
WinGo_30S,20260901100051782,7,1,Big,green
WinGo_30S,20260901100051783,2,0,Small,red
WinGo_30S,20260901100051784,4,0,Small,red
WinGo_30S,20260901100051785,6,1,Big,red
WinGo_30S,20260901100051786,1,0,Small,green
WinGo_30S,20260901100051787,8,1,Big,red
WinGo_30S,20260901100051788,0,0,Small,"red,violet"
WinGo_30S,20260901100051789,0,0,Small,"red,violet"
WinGo_30S,20260901100051790,8,1,Big,red
WinGo_30S,20260901100051791,4,0,Small,red
WinGo_30S,20260901100051792,0,0,Small,"red,violet"
WinGo_30S,20260901100051793,6,1,Big,red
WinGo_30S,20260901100051794,2,0,Small,red
WinGo_30S,20260901100051795,5,1,Big,"green,violet"
WinGo_30S,20260901100051796,2,0,Small,red
WinGo_30S,20260901100051797,4,0,Small,red
WinGo_30S,20260901100051798,7,1,Big,green
WinGo_30S,20260901100051799,8,1,Big,red
WinGo_30S,20260901100051800,5,1,Big,"green,violet"
WinGo_30S,20260901100051801,1,0,Small,green
WinGo_30S,20260901100051802,6,1,Big,red
WinGo_30S,20260901100051803,3,0,Small,green
WinGo_30S,20260901100051804,9,1,Big,green
WinGo_30S,20260901100051805,5,1,Big,"green,violet"
WinGo_30S,20260901100051806,7,1,Big,green
WinGo_30S,20260901100051807,0,0,Small,"red,violet"
WinGo_30S,20260901100051808,8,1,Big,red
WinGo_30S,20260901100051809,4,0,Small,red
WinGo_30S,20260901100051810,3,0,Small,green
WinGo_30S,20260901100051811,7,1,Big,green
WinGo_30S,20260901100051812,6,1,Big,red
WinGo_30S,20260901100051813,9,1,Big,green
WinGo_30S,20260901100051814,3,0,Small,green
WinGo_30S,20260901100051815,3,0,Small,green
WinGo_30S,20260901100051816,7,1,Big,green
WinGo_30S,20260901100051817,4,0,Small,red
WinGo_30S,20260901100051818,4,0,Small,red
WinGo_30S,20260901100051819,2,0,Small,red
WinGo_30S,20260901100051820,1,0,Small,green
WinGo_30S,20260901100051821,6,1,Big,red
WinGo_30S,20260901100051822,9,1,Big,green
WinGo_30S,20260901100051823,8,1,Big,red
WinGo_30S,20260901100051824,2,0,Small,red
WinGo_30S,20260901100051825,3,0,Small,green
WinGo_30S,20260901100051826,9,1,Big,green
WinGo_30S,20260901100051827,7,1,Big,green
WinGo_30S,20260901100051828,8,1,Big,red
WinGo_30S,20260901100051829,7,1,Big,green
WinGo_30S,20260901100051830,1,0,Small,green
WinGo_30S,20260901100051831,0,0,Small,"red,violet"
WinGo_30S,20260901100051832,4,0,Small,red
WinGo_30S,20260901100051833,1,0,Small,green
WinGo_30S,20260901100051834,3,0,Small,green
WinGo_30S,20260901100051835,3,0,Small,green
WinGo_30S,20260901100051836,5,1,Big,"green,violet"
WinGo_30S,20260901100051837,6,1,Big,red
WinGo_30S,20260901100051838,6,1,Big,red
WinGo_30S,20260901100051839,0,0,Small,"red,violet"
WinGo_30S,20260901100051840,3,0,Small,green
WinGo_30S,20260901100051841,2,0,Small,red
WinGo_30S,20260901100051842,1,0,Small,green
WinGo_30S,20260901100051843,8,1,Big,red
WinGo_30S,20260901100051844,2,0,Small,red
WinGo_30S,20260901100051845,2,0,Small,red
WinGo_30S,20260901100051846,2,0,Small,red
WinGo_30S,20260901100051847,3,0,Small,green
WinGo_30S,20260901100051848,5,1,Big,"green,violet"
WinGo_30S,20260901100051849,8,1,Big,red
WinGo_30S,20260901100051850,2,0,Small,red
WinGo_30S,20260901100051851,8,1,Big,red
WinGo_30S,20260901100051852,5,1,Big,"green,violet"
WinGo_30S,20260901100051853,7,1,Big,green
WinGo_30S,20260901100051854,6,1,Big,red
WinGo_30S,20260901100051855,9,1,Big,green
WinGo_30S,20260901100051856,9,1,Big,green
WinGo_30S,20260901100051857,2,0,Small,red
WinGo_30S,20260901100051858,1,0,Small,green
WinGo_30S,20260901100051859,2,0,Small,red
WinGo_30S,20260901100051860,5,1,Big,"green,violet"
WinGo_30S,20260901100051861,8,1,Big,red
WinGo_30S,20260901100051862,5,1,Big,"green,violet"
WinGo_30S,20260901100051863,8,1,Big,red
WinGo_30S,20260901100051864,6,1,Big,red
WinGo_30S,20260901100051865,5,1,Big,"green,violet"
WinGo_30S,20260901100051866,0,0,Small,"red,violet"
WinGo_30S,20260901100051867,6,1,Big,red
WinGo_30S,20260901100051868,1,0,Small,green
WinGo_30S,20260901100051869,5,1,Big,"green,violet"
WinGo_30S,20260901100051870,8,1,Big,red
WinGo_30S,20260901100051871,7,1,Big,green
WinGo_30S,20260901100051872,4,0,Small,red
WinGo_30S,20260901100051873,5,1,Big,"green,violet"
WinGo_30S,20260901100051874,4,0,Small,red
WinGo_30S,20260901100051875,2,0,Small,red
WinGo_30S,20260901100051876,2,0,Small,red
WinGo_30S,20260901100051877,0,0,Small,"red,violet"
WinGo_30S,20260901100051878,0,0,Small,"red,violet"
WinGo_30S,20260901100051879,8,1,Big,red
WinGo_30S,20260901100051880,6,1,Big,red
WinGo_30S,20260901100051881,0,0,Small,"red,violet"
WinGo_30S,20260901100051882,8,1,Big,red
WinGo_30S,20260901100051883,5,1,Big,"green,violet"
WinGo_30S,20260901100051884,0,0,Small,"red,violet"
WinGo_30S,20260901100051885,9,1,Big,green
WinGo_30S,20260901100051886,5,1,Big,"green,violet"
WinGo_30S,20260901100051887,7,1,Big,green
WinGo_30S,20260901100051888,7,1,Big,green
WinGo_30S,20260901100051889,4,0,Small,red
WinGo_30S,20260901100051890,9,1,Big,green
WinGo_30S,20260901100051891,2,0,Small,red
WinGo_30S,20260901100051892,9,1,Big,green
WinGo_30S,20260901100051893,0,0,Small,"red,violet"
WinGo_30S,20260901100051894,8,1,Big,red
WinGo_30S,20260901100051895,7,1,Big,green
WinGo_30S,20260901100051896,9,1,Big,green
WinGo_30S,20260901100051897,1,0,Small,green
WinGo_30S,20260901100051898,6,1,Big,red
WinGo_30S,20260901100051899,2,0,Small,red
WinGo_30S,20260901100051900,7,1,Big,green
WinGo_30S,20260901100051901,8,1,Big,red
WinGo_30S,20260901100051902,6,1,Big,red
WinGo_30S,20260901100051903,0,0,Small,"red,violet"
WinGo_30S,20260901100051904,8,1,Big,red
WinGo_30S,20260901100051905,0,0,Small,"red,violet"
WinGo_30S,20260901100051906,1,0,Small,green
WinGo_30S,20260901100051907,8,1,Big,red
WinGo_30S,20260901100051908,5,1,Big,"green,violet"
WinGo_30S,20260901100051909,8,1,Big,red
WinGo_30S,20260901100051910,3,0,Small,green
WinGo_30S,20260901100051911,8,1,Big,red
WinGo_30S,20260901100051912,4,0,Small,red
WinGo_30S,20260901100051913,6,1,Big,red
WinGo_30S,20260901100051914,7,1,Big,green
WinGo_30S,20260901100051915,2,0,Small,red
WinGo_30S,20260901100051916,2,0,Small,red
WinGo_30S,20260901100051917,9,1,Big,green
WinGo_30S,20260901100051918,7,1,Big,green
WinGo_30S,20260901100051919,0,0,Small,"red,violet"
WinGo_30S,20260901100051920,9,1,Big,green
WinGo_30S,20260901100051921,3,0,Small,green
WinGo_30S,20260901100051922,0,0,Small,"red,violet"
WinGo_30S,20260901100051923,3,0,Small,green
WinGo_30S,20260901100051924,7,1,Big,green
WinGo_30S,20260901100051925,0,0,Small,"red,violet"
WinGo_30S,20260901100051926,7,1,Big,green
WinGo_30S,20260901100051927,8,1,Big,red
WinGo_30S,20260901100051928,2,0,Small,red
WinGo_30S,20260901100051929,0,0,Small,"red,violet"
WinGo_30S,20260901100051930,5,1,Big,"green,violet"
WinGo_30S,20260901100051931,6,1,Big,red
WinGo_30S,20260901100051932,8,1,Big,red
WinGo_30S,20260901100051933,1,0,Small,green
WinGo_30S,20260901100051934,6,1,Big,red
WinGo_30S,20260901100051935,6,1,Big,red
WinGo_30S,20260901100051936,9,1,Big,green
WinGo_30S,20260901100051937,5,1,Big,"green,violet"
WinGo_30S,20260901100051938,8,1,Big,red
WinGo_30S,20260901100051939,0,0,Small,"red,violet"
WinGo_30S,20260901100051940,2,0,Small,red
WinGo_30S,20260901100051941,0,0,Small,"red,violet"
WinGo_30S,20260901100051942,8,1,Big,red
WinGo_30S,20260901100051943,6,1,Big,red
WinGo_30S,20260901100051944,2,0,Small,red
WinGo_30S,20260901100051945,8,1,Big,red
WinGo_30S,20260901100051946,9,1,Big,green
WinGo_30S,20260901100051947,3,0,Small,green
WinGo_30S,20260901100051948,0,0,Small,"red,violet"
WinGo_30S,20260901100051949,2,0,Small,red
WinGo_30S,20260901100051950,7,1,Big,green
WinGo_30S,20260901100051951,8,1,Big,red
WinGo_30S,20260901100051952,1,0,Small,green
WinGo_30S,20260901100051953,9,1,Big,green
WinGo_30S,20260901100051954,1,0,Small,green
WinGo_30S,20260901100051955,0,0,Small,"red,violet"
WinGo_30S,20260901100051956,3,0,Small,green
WinGo_30S,20260901100051957,0,0,Small,"red,violet"
WinGo_30S,20260901100051958,8,1,Big,red
WinGo_30S,20260901100051959,4,0,Small,red
WinGo_30S,20260901100051960,7,1,Big,green
WinGo_30S,20260901100051961,6,1,Big,red
WinGo_30S,20260901100051962,4,0,Small,red
WinGo_30S,20260901100051963,8,1,Big,red
WinGo_30S,20260901100051964,1,0,Small,green
WinGo_30S,20260901100051965,8,1,Big,red
WinGo_30S,20260901100051966,5,1,Big,"green,violet"
WinGo_30S,20260901100051967,3,0,Small,green
WinGo_30S,20260901100051968,5,1,Big,"green,violet"
WinGo_30S,20260901100051969,3,0,Small,green
WinGo_30S,20260901100051970,2,0,Small,red
WinGo_30S,20260901100051971,0,0,Small,"red,violet"
WinGo_30S,20260901100051972,7,1,Big,green
WinGo_30S,20260901100051973,2,0,Small,red
WinGo_30S,20260901100051974,2,0,Small,red
WinGo_30S,20260901100051975,0,0,Small,"red,violet"
WinGo_30S,20260901100051976,3,0,Small,green
WinGo_30S,20260901100051977,1,0,Small,green
WinGo_30S,20260901100051978,7,1,Big,green
WinGo_30S,20260901100051979,0,0,Small,"red,violet"
WinGo_30S,20260901100051980,3,0,Small,green
WinGo_30S,20260901100051981,5,1,Big,"green,violet"
WinGo_30S,20260901100051982,1,0,Small,green
WinGo_30S,20260901100051983,8,1,Big,red
WinGo_30S,20260901100051984,8,1,Big,red
WinGo_30S,20260901100051985,3,0,Small,green
WinGo_30S,20260901100051986,2,0,Small,red
WinGo_30S,20260901100051987,6,1,Big,red
WinGo_30S,20260901100051988,9,1,Big,green
WinGo_30S,20260901100051989,0,0,Small,"red,violet"
WinGo_30S,20260901100051990,4,0,Small,red
WinGo_30S,20260901100051991,1,0,Small,green
WinGo_30S,20260901100051992,2,0,Small,red
WinGo_30S,20260901100051993,3,0,Small,green
WinGo_30S,20260901100051994,5,1,Big,"green,violet"
WinGo_30S,20260901100051995,6,1,Big,red
WinGo_30S,20260901100051996,1,0,Small,green
WinGo_30S,20260901100051997,4,0,Small,red
WinGo_30S,20260901100051998,8,1,Big,red
WinGo_30S,20260901100051999,7,1,Big,green
WinGo_30S,20260901100052000,0,0,Small,"red,violet"
WinGo_30S,20260901100052001,0,0,Small,"red,violet"
WinGo_30S,20260901100052002,2,0,Small,red
WinGo_30S,20260901100052003,9,1,Big,green
WinGo_30S,20260901100052004,6,1,Big,red
WinGo_30S,20260901100052005,0,0,Small,"red,violet"
WinGo_30S,20260901100052006,2,0,Small,red
WinGo_30S,20260901100052007,7,1,Big,green
WinGo_30S,20260901100052008,7,1,Big,green
WinGo_30S,20260901100052009,1,0,Small,green
WinGo_30S,20260901100052010,3,0,Small,green
WinGo_30S,20260901100052011,4,0,Small,red
WinGo_30S,20260901100052012,6,1,Big,red
WinGo_30S,20260901100052013,6,1,Big,red
WinGo_30S,20260901100052014,7,1,Big,green
WinGo_30S,20260901100052015,7,1,Big,green
WinGo_30S,20260901100052016,8,1,Big,red
